filerange    10000 10711
rangestart    10000 10711
//	--LOCALE TABLE GENERATED BY TempCombiner.py--
//	--         SHIPS          --
/////    /===================================\
/////   /=====================================\
/////	|              HIIGARAN               |
/////	\=====================================/
/////	 \===================================/
/////	/==========================\
/////	|         UTILITY          |
/////	\==========================/
10000	<c=ff0000>Launch Evacuation Pod</c>
10001	<b>Type:</b> Order (Instant)\n\n<c=FF0000><b>THE LAUNCHING SHIP WILL BE DESTROYED!</b></c>\n\n<b>Description:</b> Evacuation Pod System; give crew the order to abandon ship, set all scuttling charges and launch the Evacuation Pod. Once the pod docks with the Crew Station, whatever crew had been on the ship will will be made available again
10002	Resource Collector
10003	<b>Feature Upgrade</b>\n<c=fff555>Repair Ability</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 40 s\nMaintenance: 4 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>2 crew members</c>\n\n<b>Description:</b> Basic Utility Ship; can harvest Resources, extract RUs from Mining Bases and salvage debris from destroyed ships
10004	Mobile Refinery
10005	<b>Armament</b>\n<c=ff1919>4 Hull Defense Guns</c>\n\n<b>Features</b>\n<c=ffbb19>2 Resource Drop-Off points</c>\n<b>Upgrade</b>\n<c=fff555>RU Fusion System</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 55 s\nMaintenance: 8 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>4 crew members</c>\n\n<b>Description:</b> Mobile Resource Drop-Off point; can dock 2 Resource Collectors at once
10006	Mining Barge
10007	<c=9d9ddf>Cost: 1250 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>(Captured) Mining Base</c>\n\n<b>Note:</b>\n<c=787878>Passive Tacticss: No auto-launch</c>\n\n<b>Description:</b> Utility Transport Barge; simple resource barge, ferries mined resources to fleet for long-term storage
10008	Probe
10009	<c=9d9ddf>Cost: 150 RUs\nBuild Time: 5 s</c>\n\n<b>Description:</b> Disposable Recon Device; useful for scouting out unknown areas of space or watching over likely routes of attack
10010	Proximity Sensor
10011	<c=9d9ddf>Cost: 250 RUs\nBuild Time: 15 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Station\nProximity Sensor Technology</c>\n\n<b>Description:</b> Disposable Anti-Cloak Probe; best used in a grid formation to detect hostile cloaked ships. One-shot movement
10012	Sensor Distortion Probe
10013	<c=9d9ddf>Cost: 600 RUs\nBuild Time: 30 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\nSensor Distortion Probe Technology</c>\n\n<b>Description:</b> Disposable Sensor Jamming Probe; useful for hiding ship movement or luring enemy recon groups into traps. One-shot movement
10014	Trade Convoy
10015	<c=9d9ddf>Cost: 1250 RUs\nBuild Time: 65 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>At least one allied player\n4 crew members</c>\n\n<b>Note:</b>\n<c=787878>Passive Tacticss: no auto-launch</c>\n\n<b>Description:</b> Resource Trade Convoy; allows large Production Ships to trade RUs with allied players; more RUs you have in store, more percentage (in RUs) you will gain from your trade network at any docking point; more distance your containers will cover, more percentage (in RUs) you will gain from your trade network at any docking point; to work properly, allied players must be at a minimum distance; ideal for keep high production levels
10016	Hyperspace Core
10017	<b>Features</b>\n<c=ffbb19>Integrated Hyperspace System</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 15 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership</c>\n\n<b>Description:</b> Stores fleet technologies; can rebuild the Mothership
10018	Patcher
10019	<c=9d9ddf>Cost: 800 RUs\nBuild Time: 30 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Repair System (on board)</c>\n\n<b>Note:</b>\n<c=787878>Passive: no auto-launch/repair, auto-dock\nDefensive: auto-launch/repair, auto-dock\nAggressive: auto-launch/repair, no auto-dock</c>\n\n<b>Description:</b> Armored Repair Drone; can autonomously repair damaged allied ships within a limited radius (6000 m) around the carrier ship (18 units max)
10020	Crew Cell
10021	<c=9d9ddf>Cost: 750 RUs\nBuild Time: 50 s</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Crew Station</c>\n\n<b>Description:</b> Armored Transport; improves the recruitment rate by transfering pilots and officers to production ships. The more Crew Cells you have, the greater flexibility you will gain from your fleet. You can only have one Crew Cell for each production ship
10022	Drone
10023	<b>Armament</b>\nKinetic Driver\n\n<b>Armament</b>\n<c=ff1919>Kinetic Driver</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 30 s</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Defense Facility (on board)</c>\n\n<b>Note:</b>\n<c=787878>Passive: no auto-launch/attack, auto-dock\nDefensive: auto-launch/attack, auto-dock\nAggressive: auto-launch/attack, no auto-dock</c>\n\n<b>Description:</b> Defensive Support Ship; autonomously attacks ships within a limited radius (8000 m) around the Command Fortress (27 units max)
/////	/==========================\
/////	|         FIGHTERS         |
/////	\==========================/
10024	Scout (x3)
