filerange    11453 11497
rangestart    11453 11497
//	--LOCALE TABLE GENERATED BY TempCombiner.py--
//	--        SPECIAL         --
/////	--        HIIGARAN        --
11453	Short-Range Ripwave Bomb (Tube 1)
11454	Short-Range Ripwave Bomb (Tube 2)
11455	Short-Range Ripwave Bomb (Tube 3)
11456	<b>Description:</b> Short-Range 'Build & Forget' Devastation Bomb; the Bomb automatically engages enemy Capitals within a 15 km radius around the Gujking\n\n<c=9d9ddf>Cost: 3000 RUs</c>\nStrong vs: All\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership, Research/Crew/Power/Weapon Stations docked to the Gujking Shipyard\nEngineering Division</c>\n\n<b>Note:</b>\n<c=787878>If there are no enemies in the area the ripwave bomb will self-destruct\nMax 3 units per tube</c>
11457	Long-Range Viper Torpedo (Tube 1)
11458	Long-Range Viper Torpedo (Tube 2)
11459	Long-Range Viper Torpedo (Tube 3)
11460	<b>Description:</b> Long-Range 'Build & Forget' Anti-Capital Torpdeo; the Viper automatically engages enemy Capitals within a 90 km radius around the deploying ship. The torpedo does more damage if the target is close to the launching ship\n\n<c=9d9ddf>Cost: 3000 RUs</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership, Research/Crew/Power/Weapon Stations docked to the Gujking Shipyard\nEngineering Division</c>\n\n<b>Note:</b>\n<c=787878>If there are no enemies in the area the torpedo will self destruct\nMax 3 units per tube</c>
11461	Medium-Range Cobra Torpedo (Tube 1)
11462	Medium-Range Cobra Torpedo (Tube 2)
11463	<b>Description:</b> Medium-Range 'Build & Forget' Anti-Capital Torpedo; automatically engages enemy Capitals within a 45 km radius and does more damage if the target is close to the launching ship\n\n<c=9d9ddf>Cost: 1000 RUs</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Fire Control Tower (on board)</c>\n\n<b>Note:</b>\n<c=787878>If there are no enemies in the area the Cobra will self-destruct\nMax 3 units per tube.</c>
11464	Short-Range Mamba Torpedo (Tube 1)
11465	Short-Range Mamba Torpedo (Tube 2)
11466	<b>Description:</b> Short-Range 'Build & Forget' Anti-Capital Torpedo; fast and cheap, the Mamba Torpedo automatically engages enemy Capitals within a 15 km radius, the Mamba causes more damage the closer the target is to the deploying ship\n\n<c=9d9ddf>Cost: 1000 RUs</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Fire Control Tower (on board)</c>\n\n<b>Note:</b>\n<c=787878>If there are no valid targets in the area the Mamba will self-destruct\nMax 3 units per tube</c>
11467	Tango Mine (Tube 1)
11468	Tango Mine (Tube 2)
11469	<b>Description:</b> Short-Range 'Build & Forget' Anti-Capital Mine; slow but sturdy, the Tango automatically engages enemy Capitals within a 7.5 km radius and does more damage the closer the target is to the launching ship\n\n<c=9d9ddf>Cost: 1000 RUs</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Defense Control Tower (on board)</c>\n\n<b>Note:</b>\n<c=787878>If there are no valid targets in the area the Tango will self-destruct\nMax 9 units per tube</c>
11470	Miner Torpedo (Tube 1)
11471	Miner Torpedo (Tube 2)
11472	<b>Description:</b> Medium-Range 'Build & Forget' Asteroid-cleaving Torpedo; the Miner automatically engages cleavable asteroids or debris within a 20 km radius; allowing collectors to salvage the remains of the target for additional resources\n\n<c=9d9ddf>Cost: 500 RUs</c>\n\n<b>Note:</b>\n<c=787878>If there are no valid targets in the area the Miner will self-destruct\nMax 3 units per tube</c>
11473	Heavy Ripwave Bomb (Tube 1)
11474	<b>Description:</b> Long-Range auto-aiming ripwave bomb; used to reap destruction among large enemy groups\nRange: 150 km\nCost: 20000 RUs\nStrong vs: All Ships\n\n<c=9d9ddf>Cost: 20000 RUs</c>\nStrong vs: All Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division\nDefense Facility (on board)</c>
/////	--         VAYGR          --
11482	Medium-Range Cruise Missile (Tube 1)
11483	<b>Description:</b> Automated Heavy Missile, deploys an Anti-Capital Ship medium-range 'deploy and forget' missile, the Cruise Missile will automatically target and attack enemy Capital Ship within a 45 km radius. The closer the target is to the launching ship, the greater the damage the missile inflicts\n\n<c=9d9ddf>Cost: 2000 RUs</c>\nStrong vs: Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Fire Control Tower (on board)</c>\n\n<b>Note:</b>\n<c=787878>If there are no enemies in the area the Cruise Missile will self-destruct\nMax 3 units per tube</c>
11484	Short-Range Cruise Missile (Tube 1)
11485	<b>Description:</b> 'Build & Forget' Heavy Missile; the Cruise Missile will automatically target and attack enemy Capital Ships within a 15 km radius. The closer the target is to the launching ship, the greater the damage the missile inflicts\n\n<c=9d9ddf>Cost: 1000 RUs</c>\nStrong vs: Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Fire Control Tower (on board)</c>\n\n<b>Note:</b>\n<c=787878>If there are no enemies in the area the Cruise Missile will self-destruct\nMax 3 units per tube</c>
11486	Roller Mine (Tube 1)
11487	<b>Description:</b> 'Build & Forget' Anti-Capital Heavy Mine; Roller Mines automatically engage any enemy Capital Ships within a 7.5 km radius of launch. The closer the target is to the launching ship, the greater the damage the mine inflicts \n\n<c=9d9ddf>Cost: 2000 RUs</c>\nStrong vs: Capital Ship\n\n<b>Prerequisite</b>\n<c=e7bd59>Defense Control Tower (on board)</c>\n\n<b>Note:</b>\n<c=787878>If there are no enemies in the area the Roller Mine will self-destruct\nMax 9 units per tube</c>
11488	Miner's Missile (Tube 1)
11489	<b>Description:</b> 'Build & Forget' Asteroid-cleaving missile; the Miner's Missile automatically engages cleavable asteroids or debris within a 20 km radius\n\n<c=9d9ddf>Cost: 500 RUs</c>\n\n<b>Note:</b>\n<c=787878>If there are no asteroids in the area the Miner Missile will self-destruct\nMax 3 units per tube</c>
rangeend 
