filerange	10831 11452
rangestart    10831 11452
//	--LOCALE TABLE GENERATED BY TempCombiner.py--
//	--       SUBSYSTEM        --
/////	--        HIIGARAN        --
10831	Clear Orders
10832	<b>Type:</b> Order (Instant)\n\n<b>Description:</b> Clear all sustained orders
10833	Instant Parade
10834	<b>Type:</b> Order (Instant)\n\n<b>Description:</b> All units within a limited radius (7 km) will immediately assume parade formation around this ship
10835	Sustained Parade
10836	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> All units within a limited radius (7 km) will immediately assume and maintain parade formation around this ship
10837	Cancel Parade
10838	<b>Type:</b> Order (Instant)\n\n<b>Description:</b> All units will immediately cease maintaining a parade formation around this ship
10839	Disable Fusion
10840	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> While this order is active, all RU Fusion generation will be set to standby mode
10841	Disable Recruitment
10842	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> While this order is active, all Crew and Officer recruitment will be be halted
10843	Disable Trading
10844	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> While this order is active, all trade convoys will cease trading with allied players
10845	Guard
10846	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> When this order is given, all units within a limited radius (7 km) around the ship are ordered to immediately guard this ship
10847	Dock and Stay Docked
10848	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Order all units within a limited radius around the ship (7 km) to begin docking procedures and remain docked
10849	Disable Inhibitor
10850	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Order onboard Hyperspace Inhibitor system to switch to standby mode
10851	Solar Shields
10852	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Order ship to activate the solar shield, activating/maintaining the solar shield will drain an additional 3 energy points; requires that Mothership, and all support Stations (Research/Crew/Power/Weapon) must be docked to the Gujking Shipyard
10853	Remote Space Shields
10854	<b>Type:</b> Order (Sustained)\n\n<b>Description:</b> Order ship to deploy remote space shield, activating/maintaining the remote shield will drain an additional 3 energy points; requires that Mothership, and all support Stations (Research/Crew/Power/Weapon) must be docked to the Gujking Shipyard
10855	Enable Gujking Formation
10856	<b>Type:</b> Order (Sustained)\n\n<b>Effects</b>\n<c=b26dff>Gujking Shipyard only\n+10% speed\n+35 health\n+20% accuracy\n+20% weapon damage\n+55% build speed\n+100% autorepair rate\n+100% repair dock rate\n+40% sensor range\n+80% anti-cloak sensor strength\n+80% visual range</c>\n\n<b>Description:</b> Order Mothership and support stations (Research/Crew/Power/Weapon) to dock to Gujking Shipyard\n\n<b>Note</b>\n<c=787878>Without the Mothership, the above effects are halved</c>
10857	Disable Gujking Formation
