filerange 9500 9999
rangestart 9500 9999
////	====	SETTINGS AND DESCRIPTIONS	=====
9501	Starting Resources
9502	CHOOSE INITIAL RESOURCE UNIT AMOUNT. HAVING FEWER INITIAL RESOURCES WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Normal (3000)</c>)
9503	Starting Fleet
9504	CHOOSE THE NUMBER/VARIETY OF STARTING SHIPS. STARTING WITH FEWER SHIPS WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=80FF00>Mothership, 6 Collectors</c>)
9505	Starting Military Rank
9506	CHOOSE THE INITIAL MILITARY RANK. A LOWER STARTING RANK WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Ensign (10)</c>)
9507	Resource Multiplier
9508	ADJUST THE AMOUNT OF RESOURCES CONTAINED IN ASTEROID CLUSTERS. A LOWER RESOURCE MULTIPLIER WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Normal</c>)
9509	Honour Point Rate
9510	CHOOSE THE RATE AT WHICH HONOR POINTS ARE GAINED. A LOWER RATE WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Normal</c>)
9511	Research Point Rate
9512	CHOOSE THE RATE AT WHICH RESEARCH POINTS ARE GAINED. A LOWER RATE WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Normal</c>)
9513	Construction Rate
9514	CHOOSE THE SHIP/SUBSYSTEM CONTSTRUCTION RATE. A LOWER SPEED WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Normal</c>)
9515	Resourcing Rate
9516	CHOOSE THE RATE FOR HARVESTING, FUSING AND MINING RUs. A LOWER RATE WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Normal</c>)
9517	Recruiting Rate
9518	CHOOSE THE RECRUITING OPERATIONS RATE FOR CREW/OFFICERS. A LOWER RATE WILL LEAD TO A MORE TACTICAL MATCH (Default: <c=00FF00>Normal</c>)
9519	Experience Rate
