/////	--LOCALE TABLE GENERATED BY TempResearchCombiner.py--
//	--       ABILITIES        --
filerange 15330 15933
rangestart 15330 15933
/////	--        HIIGARAN        --
15330	Repair Ability
15331	Collector Repair
15332	<b>Purpose:</b> Allows Collectors to repair friendly units\n<c=9d9ddf>Cost: 750 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nRepair System</c>
15333	Refinery Fusion
15334	Refinery Fusion
15335	<b>Effect</b>\n<c=41af41>Fuse 10 RUs every 10 s (per ship)</c>\n<c=9d9ddf>Cost: 1500 RUs\nTime: 75 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nFusion Control Module</c>
15336	Sensor Ping
15337	Scout Ping
15338	<b>Purpose:</b> Allows Scouts to 'Ping' the mission area, briefly revealing enemy units\n<c=9d9ddf>Cost: 500 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nAdvanced Sensors Array</c>
15339	Spy Ping
15340	<b>Purpose:</b> Allows Spies to 'Ping' the mission area, briefly revealing enemy units\n<c=9d9ddf>Cost: 500 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nCloak Generator\nAdvanced Sensors Array</c>
15344	EMP
15345	Scout EMP
15346	<b>Purpose:</b> Allows Scouts to fire an EMP burst that disables nearby ships for a limited time\n<c=9d9ddf>Cost: 1500 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nPower Disruptor</c>
15347	Spy EMP
15348	<b>Purpose:</b> Allows Spies to fire an EMP attack that disables nearby ships for a limited time\n<c=9d9ddf>Cost: 1500 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nCloak Generator\nPower Disruptor</c>
15349	Tulwar EMP
15350	<b>Purpose:</b> Allows Tulwar Frigates to fire an EMP burst that disables nearby ships for a limited time\n<c=9d9ddf>Cost: 3000 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nEngineering Division\nPower Disruptor</c>
15354	Improved Plasma Bomb
15355	Plasma Bomb+
15356	<b>Purpose:</b> Enhances Plasma Bombs to cause greater damage to subsystems\n<c=9d9ddf>Cost: 1500 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nFire Control Tower</c>
15369	Callisto Torpedo
15370	X-Bomber Callisto
15371	<b>Purpose:</b> Allows X-Bombers to launch Anti-Capital Callisto torpedoes\n<c=9d9ddf>Cost: 750 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division\nFire Control Tower</c>
15372	Shiry Callisto
15373	<b>Purpose:</b> Allows Shiries to launch Anti-Capital Callisto torpedoes\n<c=9d9ddf>Cost: 750 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division\nFire Control Tower</c>
15374	Torpedo Frig Callisto
15375	<b>Purpose:</b> Allows Torpedo Frigates to fire Anti-Capital ship Callisto torpedoes\n<c=9d9ddf>Cost: 750 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nFire Control Tower</c>
15376	Missile Destroyer Callisto
15377	<b>Purpose:</b> Allows Missile Destroyers to fire Anti-Capital ship Callisto torpedoes\n<c=9d9ddf>Cost: 1500 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nScience Division\nFire Control Tower</c>
15390	Flak Mine Launcher
15391	Flak Mine Launcher
15392	<b>Purpose:</b> Enables the Minegun's Automated Anti-Fighter/Corvette Flak Mine Launcher System\n<c=9d9ddf>Cost: 1400 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nScience Division\nDefense Control Tower</c>
15399	Improved Coordinated Weapons
15400	Coordinated Weapons
15401	<b>Purpose:</b> Coordinates Turret Weapons. Allows Mechguns to optimize the firing systems of their weapons\n<c=9d9ddf>Cost: 1700 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nFire Control Tower</c>
15414	Heavy Torpedoes
15415	Torp Frig Heavy Torpedo
15416	<b>Purpose:</b> Allows Torpedo Frigates to launch improved heavy Anti-Capital torpedoes\n<c=9d9ddf>Cost: 1000 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nFire Control Tower</c>
15417	Cruiser Torpedoes
15418	<b>Purpose:</b> Allows Cruiser (Type A) to fire Anti-Capital Ship torpedoes\n<c=9d9ddf>Cost: 2000 RUs\nTime: 75 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Ship Facility\nEngineering Division\nFire Control Tower</c>
15419	Long-Range Heavy Torpedo
15420	Sniper Torpedo
15421	<b>Purpose:</b> Allows Sniper Frigates to fire long-range Anti-Capital torpedoes\n<c=9d9ddf>Cost: 1000 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nFire Control Tower</c>
15422	Anti-Radiation Field
15423	Platform Anti-Rad Field
15424	<b>Purpose:</b> Platform's Defense Field also protects ships from nebulae and dust clouds\n<c=9d9ddf>Cost: 500 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division\nAnti-Radiation Field Module</c>
15425	Frigate Anti-Rad Field
15426	<b>Purpose:</b> Defense Field now also protect ships from nebulae and dust clouds\n<c=9d9ddf>Cost: 500 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nAnti-Radiation Field Module</c>
15427	Mothership Anti-Rad Field
