/////	--LOCALE TABLE GENERATED BY TempResearchCombiner.py--
//	--       TECHNOLOGY       --
filerange 15000 15329
rangestart 15000 15329
/////	--        HIIGARAN        --
15000	Sensor Distortion Technology
15001	Sensor Distort Probe
15002	<b>Unlock:</b> <c=f0d100>Sensor Distortion Probes</c>\n\n<c=9d9ddf>Cost: 750 RUs\nTime: 45 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division</c>
15003	Proximity Sensor Technology
15004	Proximity Sensor
15005	<b>Unlock:</b> <c=f0d100>Proximity Sensor Probes</c>\n\n<b>Purpose:</b> Disposable Anti-Cloaking Sensor\n<c=9d9ddf>Cost: 500 RUs\nTime: 35 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Station</c>
15006	Assault Bomber Chassis Technology
15007	Assault Bomber Tech
15008	<b>Unlock:</b> <c=f0d100>Assault Bomber</c>\n\n<b>Purpose:</b> Heavy Anti-Frigate/Capital Ship\n<c=9d9ddf>Cost: 800 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division</c>
15009	X-Bomber Chassis Technology
15010	X-Bomber Chassis
15011	<b>Unlock:</b> <c=f0d100>X-Bombers</c>\n\n<b>Purpose:</b> Anti-Subsystem\n<c=9d9ddf>Cost: 500 RUs\nTime: 25 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nResearch Station</c>
15012	Intruder Chassis Technology
15013	Intruder Chassis
15014	<b>Unlock:</b> <c=f0d100>Intruders</c>\n\n<b>Purpose:</b> Anti-Corvette\n<c=9d9ddf>Cost: 600 RUs\nTime: 35 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nResearch Division</c>
15015	Shiry Chassis Technology
15016	Shiry Chassis
15017	<b>Unlock:</b> <c=f0d100>Shiry</c>\n\n<b>Purpose:</b> Heavy Anti-Fighter/Corvette\n<c=9d9ddf>Cost: 700 RUs\nTime: 45 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division</c>
15018	Pulsar Gunship Chassis Technology
15019	Pulsar Gunship Chassis
15020	<b>Unlock:</b> <c=f0d100>Pulsar Gunships</c>\n\n<b>Purpose:</b> Anti-Corvette/Frigate\n<c=9d9ddf>Cost: 700 RUs\nTime: 45 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nResearch Division</c>
15021	Plasma Gunship Chassis Technology
15022	Plasma Corvette Chassis
15023	<b>Unlock:</b> <c=f0d100>Plasma Gunships</c>\n\n<b>Purpose:</b> Anti-Frigate/Capital Ship\n<c=9d9ddf>Cost: 800 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nResearch Division</c>
15024	Minelayer Chassis Technology
15025	Minelayer Chassis
15026	<b>Unlock:</b> <c=f0d100>Minelayer Corvettes</c>\n\n<b>Purpose:</b> Anti-Capital Ship mine deployer/sweeper\n<c=9d9ddf>Cost: 800 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nScience Division</c>
15027	Minegun Chassis Technology
15028	Minegun Chassis Technology
15029	<b>Unlock:</b> <c=f0d100>Minegun Corvettes</c>\n\n<b>Purpose:</b> Anti-Fighter/Corvette\n<c=9d9ddf>Cost: 900 RUs\nTime: 65 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nScience Division</c>
15030	Pulsar Mechgun Chassis Technology
15031	Pulsar Mechgun Tech
15032	<b>Unlock:</b> <c=f0d100>Pulsar Mechgun Corvettes</c>\n\n<b>Purpose:</b> Anti-Corvette/Frigate\n<c=9d9ddf>Cost: 1000 RUs\nTime: 75 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division</c>
15033	Ion Mechgun Chassis Technology
15034	Ion Mechgun Chassis
15035	<b>Unlock:</b> <c=f0d100>Ion Mechgun Corvettes</c>\n\n<b>Purpose:</b> Anti-Frigate/Capital Ship\n<c=9d9ddf>Cost: 1000 RUs\nTime: 75 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division</c>
15036	Torpedo Frigate Chassis Technology
