/////	--LOCALE TABLE GENERATED BY TempResearchCombiner.py--
//	--        UPGRADES        --
filerange 15934 17093
rangestart 15934 17093
/////	--        HIIGARAN        --
15934	Speed: Level 1
15935	1/3 Utility Speed
15936	<b>Effect</b>\n<c=41af41>+15% Utility speed</c>\n<c=9d9ddf>Cost: 700 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nDrive System</c>
15937	1/3 Fighter Speed
15938	<b>Effect</b>\n<c=41af41>+12% Fighter speed</c>\n<c=9d9ddf>Cost: 500 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nDrive System</c>
15939	1/3 Corvette Speed
15940	<b>Effect</b>\n<c=41af41>+15% Corvette speed</c>\n<c=9d9ddf>Cost: 600 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nDrive System</c>
15941	1/3 Frigate Speed
15942	<b>Effect</b>\n<c=41af41>+15% Frigate speed</c>\n<c=9d9ddf>Cost: 700 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nDrive System</c>
15943	1/3 Capital Speed
15944	<b>Effect</b>\n<c=41af41>+15% Capital speed</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nResearch Division\nDrive System</c>
15945	Speed: Level 2
15946	2/3 Utility Speed
15947	<b>Effect</b>\n<c=41af41>+15% Utility speed</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDrive System</c>
15948	2/3 Fighter Speed
15949	<b>Effect</b>\n<c=41af41>+13% Fighter speed</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 75 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division\nDrive System</c>
15950	2/3 Corvette Speed
15951	<b>Effect</b>\n<c=41af41>+15% Corvette speed</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nScience Division\nDrive System</c>
15952	2/3 Frigate Speed
15953	<b>Effect</b>\n<c=41af41>+15% Frigate speed</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nDrive System</c>
15954	2/3 Capital Speed
15955	<b>Effect</b>\n<c=41af41>+15% Capital speed</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nDrive System</c>
15956	Speed: Level 3
15957	3/3 Utility Speed
15958	<b>Effect</b>\n<c=41af41>+15% Utility speed</c>\n<c=9d9ddf>Cost: 2800 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDrive System</c>
15959	3/3 Fighter Speed
15960	<b>Effect</b>\n<c=41af41>+13% Fighter speed</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 100 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nEngineering Division\nDrive System</c>
15961	3/3 Corvette Speed
15962	<b>Effect</b>\n<c=41af41>+15% Corvette speed</c>\n<c=9d9ddf>Cost: 2400 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nDrive System</c>
15963	3/3 Frigate Speed
15964	<b>Effect</b>\n<c=41af41>+15% Frigate speed</c>\n<c=9d9ddf>Cost: 2800 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nEngineering Division\nDrive System</c>
15965	3/3 Capital Speed
15966	<b>Effect</b>\n<c=41af41>+15% Capital speed</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nEngineering Division\nDrive System</c>
15967	Health: Level 1
15968	1/3 Utility Health
15969	<b>Effect</b>\n<c=41af41>+30% Utility health</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nDefense Control Tower</c>
15970	1/3 Fighter Health
